Video ID,Title,Comment
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"nda butuh vaksin,,kasi aja yg mau di vaksin.."
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Laut natuna sudah selesai ya gaes. Besok aku mau bisnis sinovac ah. Kayaknya bisnis nya mantap gaes
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Semoga bisa selesai pandemi virus covid-19 ini.  AMIN
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"klu GAGAL VAKSINNYA


JOKOWI SIAP MUNDUR KAH???"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Obat corona ya Pilkada 🤭
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"president dulu disuntik vaksin baru RAKYAT, kalau gak mau Rakyat gak usah disuntik, Rakyat sehat kok divaksin 😪.
vaksin belum di uji coba di indo kok langsung di pakai, mengenaskan 😭😭😭"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Semoga secepatnya..agar tdk banyak korban lagi
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Sebenar nya ini cuma permainan nya china kalo ngga salah di korea sudah ada yang di vaksin trus merekut nyawa 28/29meninggal karna vaksin covid19
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Knp yg di uji coba para relawan hrsnya yg sdh terpapar positip cvid sja hdeeeeh
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"aduh pa presiden. coba berfikir cerdas jangan terpengaruh oleh  WHO. 
silahkan saja para pejabat aja dulu.
ingat tulisan saya
apa yang akan terjadi dikemudian hari
kalian nanti akan mengerti apa itu COPID"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Kelamaan vaksinya sampe manusia modar kabeh
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Pemimpin laknat ALLOH
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Saya ga mau divaksin karna saya alergi jarum suntik
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Wow buang duwit aja... Semoga dasa2ku di ampuni ,, aamiin"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Pejabat negara aja dulu divaksin, mulai dar pejabat tinggi"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Dimulai dengan presiden menteri anggota dpr asn.. terakhir rakyat
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Semoga itu benar.
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Vaksin tidak akan ada gunanya
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Vaksine dinggo rika kono joj
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Ora sudi nganggo vaksin covid19
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,hore ada celah korupsi ni
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"sukses ya "" 
sering"" aja buat penyakit.."
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Indonesia jaya
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Covid akan hilang jika rapid test dan swab test dihentikan
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Maaf Sy kira LELET,,,Tahun depan  berapa byk makan Korban lagi Pak..
Uji coba ngapain REPOT siii Pak,kasih aja sama yg kena corona dahulu...
Dari pada yg kena corona dikasih obat asal..
Setuju like!!!"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Bissmillah semoga jadii
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Insha Allah pak jokowi semoga vaksin nya jadi dan bisa kembali beraktivitas


Terima kasih pak jokowi

Salam dari pekalongan 🙏☺️"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Nah gini kan jadi enak mo demo vaksin segera ditemukan wkkwkw
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Itu VAKSIN apa CIP pak......
Jngn sampei seluruh rakyat indonesia di monitoring gerak geriknya......"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Pak secepatnya pak kami pengen masuk sekolah, pengen ibadah langsung di gereja pak....udah kangen saya doakan yang terbaik pak 🙏🙏"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"BORONG DAH VAKSIN ITU
BIAR GK HABIS HABIS CORONA INI"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Tionggggkooooook
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"yang setuju pak jokowi divaksin duluan dan LIVE....!!!! 
atau ditonton rakyat..!!!!"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Bingung dah sama penguasa, khan jelas vaksin hanya specifik covid-19, sdg covid-19 sudah mutan/mutasi beratus2 bahkan beribu2 kali. Apalagi bersifat ADE justru diberi vaksin yg bukan specifiknya/peruntukkannya akan menjadi lebih ganas 😭😇"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,susah punya Presiden cina mh euyy semua rakyat indo sengsara
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,kalo udah ada vaksin ngapain masih pakai mask? masih gak selamat?
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Yg pertama di suntik sebelum rakyat
1.Bapak Presiden n Wakilny
2.Ketua MPR n DPR
3.Semua pejabat negara.
Dan harus di saksikan pihak yg netral.
Bukanny g percaya tapi vaksin itu dari CHINA."
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,maju mundurnya covid tergantung persiden..kalau persiden bilang stop jangan ada tes tes lagi...maka covid akan berhenti....bgitu sebaliknya...ta akan ada hentinya selagi tes tes terus berjalan...
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Ini vaksin bneran ada atau iming2 ksi harapan palsu supaya g krusuhan
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Uji coba di tikus-tikus penghuni gedung DPR dulu ya ! Jangan uji ke manusia dulu.🙂
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Buat yg sehat2 aja jgn di faksin ya pak..
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Sementara ada pendapat ahli yg perlu kehati hatian karena vaksinnya bisa malah menimbulkan makin ganasnya covid19 pada yg divaksin
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Ngomong aja susah lelah dengarnya
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Bisnis lagii
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Ragu boleh kan
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Gawat ni pemerintah duit melulu dikeruk ya kan Luhut
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Presiden ga sadar Covid19 ga pernah diteliti percobaan, akan terjsdi pembunuhan masal,  ga jelas tuk apa covid19 ,jangan mau disuntik"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"vaksin = imunisasi = orang dulu yg g di imunisasi sehat sehat umur panjang .. 
nenek saya aja yg lahir jaman jepan masih sehat .. sedang kan anak nya udah 3 yg meninggal 😢"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,"Yaallah.... Semoga tahun depan wabah ini hilang ya allah... kami semua kangen sama sekolah😭😭
Sekali lagi. Semoga virus covid19 udh hilang tahun depan amin...🤲🤲🤲"
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Takutnya sih cmn pengalihan Issue
PwwL10ZlE6g,Jokowi: Vaksin Covid-19 Siap Januari 2021,Cobain ke Presiden dulu sama keluarganya... Trus cobain ke DPR dan Jajaran Pemerintah...
